State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
West Virginia,Imposter Scams,2441,25%
West Virginia,"Prizes, Sweepstakes and Lotteries",1321,13%
West Virginia,Identity Theft,1000,10%
West Virginia,Telephone and Mobile Services,651,7%
West Virginia,Shop-at-Home and Catalog Sales,530,5%
West Virginia,Banks and Lenders,494,5%
West Virginia,Debt Collection,455,5%
West Virginia,Auto Related,310,3%
West Virginia,Television and Electronic Media,281,3%
West Virginia,"Credit Bureaus, Information Furnishers and Report Users",225,2%
Wyoming,Imposter Scams,569,20%
Wyoming,Identity Theft,389,14%
Wyoming,"Prizes, Sweepstakes and Lotteries",323,12%
Wyoming,Telephone and Mobile Services,189,7%
Wyoming,Debt Collection,181,6%
Wyoming,Shop-at-Home and Catalog Sales,168,6%
Wyoming,Banks and Lenders,146,5%
Wyoming,Auto Related,78,3%
Wyoming,Internet Services,71,3%
Wyoming,"Credit Bureaus, Information Furnishers and Report Users",51,2%
,,,
Percentages are based on the total number of relevant 2017 reports from corresponding state's consumers,,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
